data,feriado,itens_vendidos,soma_de_vendas
2016-01-01,Confraternização Universal,,
2016-02-08,Carnaval,,
2016-02-09,Carnaval,,
2016-02-10,Início da Quaresma,,
2016-03-25,Sexta-feira Santa,,
2016-04-21,Tiradentes,,
2016-05-01,Dia do Trabalhador,,
2016-05-26,Corpus Christi,,
2016-09-04,,2.0,136.22999572753906
2016-09-05,,1.0,75.05999755859375
2016-09-07,Independência do Brasil,,
2016-10-02,,1.0,109.33999633789062
2016-10-03,,8.0,595.1400108337402
2016-10-04,,69.0,11295.479829788208
2016-10-05,,56.0,9645.939979553223
2016-10-06,,58.0,9065.850025177002
2016-10-07,,52.0,8144.270053863525
2016-10-08,,45.0,9383.37008857727
2016-10-09,,34.0,4152.1100425720215
2016-10-10,,40.0,4493.38996887207
2016-10-12,Nossa Senhora Aparecida,,
2016-10-28,Dia do Servidor Público,,
2016-11-02,Finados,,
2016-11-15,Proclamação da República,,
2016-12-23,,1.0,19.6200008392334
2016-12-24,Véspera de Natal,,
2016-12-25,Natal,,
2016-12-31,Véspera de Ano-Novo,,
2017-01-01,Confraternização Universal,,
2017-01-05,,32.0,707.2700204849243
2017-01-06,,4.0,988.2800178527832
2017-01-07,,5.0,1447.9900207519531
2017-01-08,,6.0,809.6299991607666
2017-01-09,,6.0,774.5099925994873
2017-01-10,,6.0,1571.1700134277344
2017-01-11,,12.0,3062.3299865722656
2017-01-12,,15.0,2502.6900329589844
2017-01-13,,11.0,2780.7200317382812
2017-01-14,,18.0,1507.359998703003
2017-01-15,,21.0,2551.3399963378906
2017-01-16,,24.0,3712.240005493164
2017-01-17,,37.0,3893.610038757324
2017-01-18,,35.0,4683.379981994629
2017-01-19,,35.0,4140.160001754761
2017-01-20,,39.0,4656.050003051758
2017-01-21,,36.0,3094.7599697113037
2017-01-22,,33.0,4141.869979858398
2017-01-23,,54.0,7553.890045166016
2017-01-24,,44.0,6794.499938964844
2017-01-25,,69.0,10340.189998626709
2017-01-26,,100.0,15111.63004398346
2017-01-27,,76.0,12756.140007972717
2017-01-28,,30.0,5909.980030059814
2017-01-29,,47.0,7160.659980773926
2017-01-30,,75.0,11911.90994644165
2017-01-31,,85.0,12687.529996871948
2017-02-01,,70.0,9570.489859580994
2017-02-02,,75.0,10483.76990890503
2017-02-03,,62.0,11425.980041503906
2017-02-04,,72.0,15717.209930419922
2017-02-05,,83.0,10153.23996925354
2017-02-06,,88.0,11086.039932250977
2017-02-07,,127.0,16540.429906845093
2017-02-08,,99.0,14028.609983444214
2017-02-09,,82.0,10844.169975280762
2017-02-10,,74.0,15674.090065002441
2017-02-11,,51.0,5233.149982452393
2017-02-12,,66.0,16646.330085754395
2017-02-13,,88.0,12885.869979858398
2017-02-14,,80.0,14348.690061569214
2017-02-15,,63.0,8031.519973754883
2017-02-16,,57.0,7455.279954910278
2017-02-17,,56.0,8059.19998550415
2017-02-18,,63.0,8456.589958190918
2017-02-19,,44.0,4477.649936676025
2017-02-20,,72.0,9157.300039291382
2017-02-21,,47.0,9333.460006713867
2017-02-22,,68.0,9333.12999534607
2017-02-23,,73.0,8571.859985351562
2017-02-24,,73.0,7898.749940872192
2017-02-25,,46.0,5012.309976577759
2017-02-26,,52.0,6496.460050582886
2017-02-27,Carnaval,53.0,6836.769979476929
2017-02-28,Carnaval,67.0,12582.519981384277
2017-03-01,Início da Quaresma,113.0,14654.689907073975
2017-03-02,,76.0,12883.06002998352
2017-03-03,,80.0,13919.140102386475
2017-03-04,,86.0,14590.539987564087
2017-03-05,,82.0,8450.30997467041
2017-03-06,,114.0,12421.309925079346
2017-03-07,,98.0,13730.6399974823
2017-03-08,,88.0,16592.070125579834
2017-03-09,,114.0,13804.609901428223
2017-03-10,,99.0,14518.919965744019
2017-03-11,,80.0,12503.969974517822
2017-03-12,,71.0,7853.180003166199
2017-03-13,,118.0,19306.059829711914
2017-03-14,,114.0,16542.9799823761
2017-03-15,,121.0,17215.929924964905
2017-03-16,,127.0,16653.719911575317
2017-03-17,,79.0,13611.279898643494
2017-03-18,,77.0,17943.06981277466
2017-03-19,,59.0,7728.080020904541
2017-03-20,,127.0,19607.300119400024
2017-03-21,,105.0,13236.719930648804
2017-03-22,,122.0,16390.140014648438
2017-03-23,,134.0,18795.93004798889
2017-03-24,,85.0,11670.440008163452
2017-03-25,,85.0,11064.270017623901
2017-03-26,,69.0,7642.019958496094
2017-03-27,,120.0,18732.590160369873
2017-03-28,,116.0,14626.669967651367
2017-03-29,,85.0,10209.110021591187
2017-03-30,,83.0,11435.000015258789
2017-03-31,,73.0,13753.279983520508
2017-04-01,,69.0,19053.90999031067
2017-04-02,,78.0,10608.620029449463
2017-04-03,,87.0,10776.900026321411
2017-04-04,,109.0,14152.989994049072
2017-04-05,,102.0,20774.54993247986
2017-04-06,,110.0,25242.810028076172
2017-04-07,,96.0,15043.719951629639
2017-04-08,,71.0,10053.580030441284
2017-04-09,,78.0,9689.409921646118
2017-04-10,,95.0,13492.09994506836
2017-04-11,,84.0,9822.129943847656
2017-04-12,,66.0,9407.939988136292
2017-04-13,,64.0,11216.110036849976
2017-04-14,Sexta-feira Santa,60.0,9532.359966278076
2017-04-15,,55.0,9391.559978485107
2017-04-16,,52.0,6532.210023880005
2017-04-17,,68.0,10765.569961547852
2017-04-18,,84.0,23433.85961341858
2017-04-19,,112.0,13941.249933242798
2017-04-20,,115.0,15722.380031585693
2017-04-21,Tiradentes,77.0,10162.600019454956
2017-04-22,,94.0,14889.699989318848
2017-04-23,,91.0,11681.32000541687
2017-04-24,,135.0,17711.57008743286
2017-04-25,,123.0,17176.349939346313
2017-04-26,,143.0,18696.09000968933
2017-04-27,,101.0,12390.889995574951
2017-04-28,,108.0,18063.290002822876
2017-04-29,,86.0,13699.239957809448
2017-04-30,,71.0,9437.00002670288
2017-05-01,Dia do Trabalhador,131.0,14796.770112037659
2017-05-02,,136.0,20308.14002609253
2017-05-03,,111.0,12155.4800491333
2017-05-04,,122.0,15813.960054397583
2017-05-05,,123.0,16360.289972305298
2017-05-06,,127.0,18619.22006034851
2017-05-07,,120.0,19724.419967651367
2017-05-08,,143.0,19022.659980773926
2017-05-09,,154.0,23891.16003036499
2017-05-10,,124.0,23258.639945983887
2017-05-11,,138.0,21204.040069580078
2017-05-12,,123.0,15103.559978485107
2017-05-13,,81.0,10675.669960021973
2017-05-14,,129.0,17551.82998085022
2017-05-15,,171.0,21438.309944152832
2017-05-16,,172.0,24372.90997314453
2017-05-17,,157.0,21396.330001831055
2017-05-18,,140.0,20861.78999042511
2017-05-19,,168.0,21525.089965820312
2017-05-20,,80.0,12364.16999053955
2017-05-21,,164.0,20368.529985427856
2017-05-22,,167.0,28906.599983215332
2017-05-23,,146.0,20622.470085144043
2017-05-24,,159.0,26624.390144348145
2017-05-25,,120.0,17786.69008255005
2017-05-26,,93.0,12495.319944381714
2017-05-27,,93.0,16057.38986492157
2017-05-28,,106.0,11120.70997428894
2017-05-29,,178.0,22027.52006149292
2017-05-30,,118.0,16681.06995201111
2017-05-31,,142.0,23271.15001296997
2017-06-01,,136.0,21781.380128860474
2017-06-02,,135.0,21603.969945907593
2017-06-03,,101.0,12265.439958572388
2017-06-04,,106.0,15898.480005264282
2017-06-05,,163.0,27018.150016784668
2017-06-06,,156.0,17309.54002380371
2017-06-07,,132.0,15397.670030593872
2017-06-08,,151.0,22106.27992630005
2017-06-09,,127.0,18594.340032577515
2017-06-10,,83.0,9807.179988861084
2017-06-11,,126.0,16619.94994544983
2017-06-12,,149.0,17300.940064430237
2017-06-13,,141.0,16601.490016937256
2017-06-14,,147.0,23407.110034942627
2017-06-15,Corpus Christi,120.0,14916.809999465942
2017-06-16,,105.0,14777.690019607544
2017-06-17,,84.0,12746.150102615356
2017-06-18,,101.0,19733.690229415894
2017-06-19,,179.0,25933.43999481201
2017-06-20,,107.0,14069.73989868164
2017-06-21,,38.0,7275.099847793579
2017-06-22,,98.0,10609.039936065674
2017-06-23,,117.0,15698.500133514404
2017-06-24,,81.0,10013.700061798096
2017-06-25,,117.0,20734.339979171753
2017-06-26,,83.0,15200.320007324219
2017-06-27,,153.0,19609.72003555298
2017-06-28,,128.0,17080.879962921143
2017-06-29,,122.0,14276.779983520508
2017-06-30,,97.0,14750.45004272461
2017-07-01,,94.0,14139.00001335144
2017-07-02,,118.0,13715.230089187622
2017-07-03,,131.0,19269.399969100952
2017-07-04,,134.0,17940.63995742798
2017-07-05,,162.0,24138.20991230011
2017-07-06,,162.0,25716.309942245483
2017-07-07,,134.0,16206.85997390747
2017-07-08,,91.0,11897.070014953613
2017-07-09,,98.0,10075.680004119873
2017-07-10,,156.0,20397.339952468872
2017-07-11,,184.0,23870.569843292236
2017-07-12,,166.0,22461.66009902954
2017-07-13,,155.0,17986.75000190735
2017-07-14,,168.0,21833.259965896606
2017-07-15,,112.0,13128.050029754639
2017-07-16,,148.0,16005.179985046387
2017-07-17,,194.0,25364.560024261475
2017-07-18,,220.0,32202.42993736267
2017-07-19,,171.0,19710.429977416992
2017-07-20,,168.0,22410.96996307373
2017-07-21,,131.0,15785.650020599365
2017-07-22,,101.0,13318.540000915527
2017-07-23,,107.0,14005.71999168396
2017-07-24,,180.0,22860.13998413086
2017-07-25,,171.0,20563.459964752197
2017-07-26,,146.0,13899.47995376587
2017-07-27,,138.0,18729.069911956787
2017-07-28,,153.0,23276.299982070923
2017-07-29,,130.0,18371.910005569458
2017-07-30,,130.0,15341.689931869507
2017-07-31,,166.0,20454.910098075867
2017-08-01,,185.0,25417.359935760498
2017-08-02,,172.0,21122.25994682312
2017-08-03,,166.0,22219.040029525757
2017-08-04,,161.0,21629.609981536865
2017-08-05,,126.0,14465.839897155762
2017-08-06,,122.0,16965.109977722168
2017-08-07,,182.0,26629.340045928955
2017-08-08,,159.0,21541.130027770996
2017-08-09,,161.0,24018.020109176636
2017-08-10,,179.0,23323.20991897583
2017-08-11,,164.0,23328.34006881714
2017-08-12,,108.0,16194.07988357544
2017-08-13,,109.0,14491.450021743774
2017-08-14,,176.0,21590.099941253662
2017-08-15,,210.0,27940.65986251831
2017-08-16,,207.0,28012.26010131836
2017-08-17,,169.0,21737.95001602173
2017-08-18,,160.0,20025.869983673096
2017-08-19,,128.0,15172.920036315918
2017-08-20,,118.0,14955.169991493225
2017-08-21,,212.0,26019.719992637634
2017-08-22,,161.0,19749.470066070557
2017-08-23,,158.0,18593.79001712799
2017-08-24,,143.0,16094.410032272339
2017-08-25,,135.0,17403.7199344635
2017-08-26,,99.0,12054.649980545044
